title,author,year_read,country,publication_year,century,reading_language,genre,rating
Bastard 5,Carnby Kim,2026,South Korea,2017,,ES,Webtoon,4
"A Good Day to Be a Dog, Vol. 8",Lee Hye,2026,South Korea,2018,,ES,Webtoon,4
"O Conde de Monte Cristo - Tomo I",Alexandre Dumas,2026,France,,19,PT/BR,Classic,4.5
"A Good Day to Be a Dog, Vol. 9",Lee Hye,2026,South Korea,2020,,ES,Webtoon,4
Auto da Barca do Inferno,Gil Vicente,2026,Portugal,,16,PT/PT,"Classic, Dramatic(Theater)",3.5
"Devil Number 4, Vol. 1",Jangjin,2026,South Korea,2020,,ES,Webtoon,4.5
"Devil Number 4, Vol. 2",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
Moonstruck,Jellyfish,2026,United States,2025,,ES,Webtoon,2.5
"Devil Number 4, Vol. 3",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
o Retrato de Dorian Gray,Oscar Wilde,2026,Ireland,,19,PT/BR,"Classic, Queer",4
"Devil Number 4, Vol. 4",Jangjin,2026,South Korea,2020,,ES,Webtoon,4.5
"Devil Number 4, Vol. 5",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
"Devil Number 4, Vol. 6",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
"Devil Number 4, Vol. 7",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
Auto da Barca do Purgatório,Gil Vicente,2026,Portugal,,16,PT/PT,"Classic, Dramatic(Theater)",2.5
"Devil Number 4, Vol. 8",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
"My ID is Gangnam Beauty, Vol. 1",Maenggi Ki,2026,South Korea,2018,,ES,Webtoon,3

